"",SUID,GeneName,Betweenness,Stress,Degree,Radiality,Bridging,Centroid,Closeness,Eccentricity,EigenVector
1049,1111,ENTPD4,1094.67878,42136,234,3.110724926,5.755333525,-496,0.000263,0.333333333,0.014529002
1050,1112,SHB,242.3549649,7096,103,3.041211519,5.658482581,-636,0.000253,0.333333333,0.004796552
1051,1113,AKAP5,625.4625871,20260,138,3.063555114,7.689225123,-591,0.000256,0.333333333,0.008083536
1052,1114,CD96,575.5111238,19096,169,3.072989076,5.337597661,-572,0.000258,0.333333333,0.008517555
1053,1115,USP13,2695.198509,111592,409,3.18123138,4.971189149,-354,0.000273,0.333333333,0.026673504
1054,1116,SP100,1343.005707,50512,262,3.120158888,5.672266683,-477,0.000264,0.333333333,0.015436075
1055,1117,ECD,406.060838,19900,168,3.078947368,4.639777732,-560,0.000258,0.333333333,0.01280799
1056,1118,POLR3F,1188.85796,51062,253,3.120158888,5.463446843,-477,0.000264,0.333333333,0.017199632
1057,1119,UBR2,2147.04359,99858,370,3.173286991,5.003487104,-370,0.000272,0.333333333,0.024927692
1058,1120,PPP2R2B,2019.326193,69000,310,3.140019861,5.916581,-437,0.000267,0.333333333,0.018718954
1059,1121,STAG2,2401.731002,108466,368,3.167825223,5.333518022,-381,0.000271,0.333333333,0.02380247
1060,1122,GLE1,2429.06113,102754,392,3.176266137,5.104590009,-364,0.000272,0.333333333,0.026394167
1061,1123,CTNNB1,7674.820349,307798,748,3.299900695,4.179385683,-115,0.000292,0.333333333,0.041600028
1062,1124,APEX1,3191.861864,138510,495,3.208043694,4.208302519,-300,0.000277,0.333333333,0.03230085
1063,1125,RBBP4,4589.54032,224426,690,3.267130089,3.456323464,-181,0.000287,0.333333333,0.043179052
1064,1126,NHP2L1,463.0598203,19960,176,3.078450844,4.726905305,-561,0.000258,0.333333333,0.01219623
1065,1127,NCL,1986.926673,97068,420,3.177259186,3.857622202,-362,0.000272,0.333333333,0.028214848
1066,1128,SHC1,2134.301654,65548,365,3.135551142,4.271226039,-446,0.000266,0.333333333,0.015382778
1067,1129,BCL2L11,817.698722,34168,222,3.099304866,5.317074059,-519,0.000261,0.333333333,0.014604078
1068,1130,IL5RA,516.5478452,18876,160,3.072492552,5.605685171,-573,0.000258,0.333333333,0.009369604
1069,1131,LEP,780.0579563,20082,165,3.072989076,6.471917641,-572,0.000258,0.333333333,0.00815944
1070,1132,STAU2,1885.374326,87556,357,3.164349553,4.869662911,-388,0.00027,0.333333333,0.026394729
1071,1133,CELF1,1545.116465,66872,302,3.141509434,5.226108261,-434,0.000267,0.333333333,0.020487178
1072,1134,ACD,1471.831452,56038,243,3.110724926,6.427436093,-496,0.000263,0.333333333,0.0152004
1073,1135,LY9,944.3116466,28732,188,3.087884806,6.700040003,-541,0.00026,0.333333333,0.010006508
1074,1136,CD80,754.5810053,25866,180,3.083912612,6.243914086,-550,0.000259,0.5,0.010627208
1075,1137,IL4R,1091.117337,42626,276,3.113704071,4.221810805,-489,0.000263,0.333333333,0.013655936
1076,1138,IL1B,1030.739967,49016,192,3.08142999,5.694679483,-555,0.000259,0.333333333,0.009392113
1077,1139,LCK,1844.261594,79882,415,3.157894737,3.348786974,-401,0.00027,0.333333333,0.020708336
1078,1140,AGTPBP1,183.1368214,6770,91,3.0367428,6.169511385,-645,0.000253,0.333333333,0.006220912
1079,1141,CUL4A,1343.456113,58384,289,3.131578947,5.079116675,-454,0.000266,0.333333333,0.019237649
1080,1142,SLC25A4,783.4527116,29950,199,3.09285005,5.784988503,-532,0.00026,0.333333333,0.012730587
1081,1143,SENP6,1978.418172,82808,336,3.15590864,5.231282203,-405,0.000269,0.333333333,0.021465099
1082,1144,WDR77,2995.613568,130850,439,3.195134062,4.88730151,-326,0.000275,0.333333333,0.029301323
1083,1145,PRPF18,1331.407876,63194,296,3.138530288,4.822722584,-440,0.000267,0.333333333,0.020254487
1084,1146,TWIST1,570.3080654,20226,171,3.075471698,5.59758056,-567,0.000258,0.333333333,0.010299525
1085,1147,GPD2,1007.074799,38802,225,3.104766634,5.709001808,-508,0.000262,0.333333333,0.014049901
1086,1148,PSEN2,1177.988961,39602,223,3.104270109,6.349569756,-509,0.000262,0.333333333,0.013218797
1087,1149,RAB2A,1306.508912,57610,280,3.131082423,5.147574296,-455,0.000266,0.333333333,0.018707029
1088,1150,E2F5,1812.413188,72194,331,3.146474677,5.18752218,-424,0.000268,0.333333333,0.021495809
1089,1151,PUM2,3526.908202,159360,492,3.219960278,4.559756633,-276,0.000279,0.333333333,0.031162812
1090,1152,CCNT1,1423.978869,66582,322,3.142005958,4.579278826,-433,0.000267,0.333333333,0.02167751
1091,1153,NASP,1464.998468,76304,351,3.168321748,4.214704675,-380,0.000271,0.333333333,0.030320549
1092,1154,ANAPC10,1820.656012,81076,346,3.157894737,4.734062265,-401,0.00027,0.333333333,0.02413223
1093,1155,H3F3B,1261.256224,46922,247,3.113704071,5.88074531,-490,0.000263,0.333333333,0.015898162
